Depth_m,Production_flow_m3s,Injected_water_m3s,Total_flow_m3s,Velocity_m_s,Reynolds,Friction_factor,Pressure_gravity_Pa,Pressure_friction_Pa,Total_pressure_Pa
1050,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8755425,5572.073504,8860970.666
1055,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8797117.5,5598.481435,8902689.574
1060,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8838810,5624.889367,8944408.481
1065,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8880502.5,5651.297298,8986127.389
1070,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8922195,5677.705229,9027846.297
1075,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,8963887.5,5704.11316,9069565.205
1080,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9005580,5730.521092,9111284.113
1085,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9047272.5,5756.929023,9153003.021
1090,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9088965,5783.336954,9194721.929
1095,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9130657.5,5809.744886,9236440.837
1100,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9172350,5836.152817,9278159.745
1105,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9214042.5,5862.560748,9319878.653
1110,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9255735,5888.96868,9361597.561
1115,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9297427.5,5915.376611,9403316.469
1120,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9339120,5941.784542,9445035.377
1125,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9380812.5,5968.192473,9486754.285
1130,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9422505,5994.600405,9528473.192
1135,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9464197.5,6021.008336,9570192.1
1140,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9505890,6047.416267,9611911.008
1145,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9547582.5,6073.824199,9653629.916
1150,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9589275,6100.23213,9695348.824
1155,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9630967.5,6126.640061,9737067.732
1160,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9672660,6153.047992,9778786.64
1165,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9714352.5,6179.455924,9820505.548
1170,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9756045,6205.863855,9862224.456
1175,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9797737.5,6232.271786,9903943.364
1180,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9839430,6258.679718,9945662.272
1185,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9881122.5,6285.087649,9987381.18
1190,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9922815,6311.49558,10029100.09
1195,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,9964507.5,6337.903512,10070819
1200,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,10006200,6364.311443,10112537.9
1205,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,10047892.5,6390.719374,10154256.81
1210,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,10089585,6417.127305,10195975.72
1215,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,10131277.5,6443.535237,10237694.63
1220,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,10172970,6469.943168,10279413.54
1225,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,10214662.5,6496.351099,10321132.44
1230,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,10256355,6522.759031,10362851.35
1235,0.000648148,0,0.000648148,0.082524785,350.7303376,0.182476373,10298047.5,6549.166962,10404570.26
