Operator,TD,TVD,TotalFluid,TotalProppant,TopPerf,BottomPerf,FluidType,LateralLength,ChokeTopDescription,MaxFlowingPSI,MaxShutinPSI,FlowGas,FlowWater,SurfaceX,SurfaceY,Z_BelowSurface,Isopach,Porosity,TotalGasBCFPerSection,Temperature,Pressure,KOP,FirstProdDate,minLateralSpacing,numOfOffsetLateralSpacingWells,EUR,IP
P,17903,12398,235318,11432000,12764,14655,SLKW,3994.5,0.21875,7250,NaN,4218,771,1762233.969,843569.5324,12125,106,0.0605,54.6851,314.5,9789.559659,5768.5,2018,NaN,0,8200000,6347.041449
P,18031,10108,396303,17588000,10492,17823,SLKW,5488.5,0.375,4233,5862,9639,695,1671958.697,832835.9425,10300,149,0.1052,142.7965,278,7888.863636,4837.5,2018,NaN,0,5900000,7943.790476
P,18761,11013,389819.2,15358000,11130,18581,SLKW,5784,0.375,4575,7250,12234,487,1698741.572,853110.8069,10666,84,0.1003,80.075,285.32,8257.908091,5099,2016,1583.180928,2,16700000,10754.89261
P,18550,10615,372023,14948000,10930,18351,SLKW,5552.25,0.375,5169,7130,14675,283,1698757.743,853114.309,10666,84,0.1003,80.075,285.32,8257.908091,5100,2016,1333.309806,2,15100000,14360.15764
P,16011,11046,175048,5910000,11151,15809,SLKW,3516,0.25,3690,6885,4373,276,1700796.202,850137.8784,10800,84,0.1002,76.6143,288,8394.545455,5189,2016,1334.874212,1,8300000,4428.401314
P,15953,10814,174972.8,5930000,11063,15758,SLKW,3543,0.28125,4024,6855,6166,252,1700780.06,850138.0112,10800,84,0.1002,76.6143,288,8394.545455,5142.5,2016,1364.673908,1,9100000,5839.99803
S,18809,9572,230915.4,13690000,10119,18651,GEL,6492,0.46875,4665,5172,20424,674,1621641.363,817993.1858,9622,163,0.1179,186.6458,264.44,7221.311,4606.5,2016,967.5987785,2,15000000,14501.27553
S,18920,9575,233738.7,10006000,10232,18764,GEL,6522.75,0.4375,4817,4898,14897,1258,1621660.304,818000.0832,9622,163,0.1179,186.6458,264.44,7221.311,4607,2016,1014.888857,1,12500000,13136.91297
S,16240,9924,163113.4,10946000,10089,16094,GEL,4541.25,0.40625,4022,4421,13341,241,1621679.223,818007.9626,9622,163,0.1179,186.6458,264.44,7221.311,4605,2016,2664.087371,1,7400000,10215.52184
S,18823,9552,227062.4,24752000,10135,18676,GEL,6452.25,0.46875,4503,5012,18737,749,1621622.455,817986.3244,9622,163,0.1179,186.6458,264.44,7221.311,4608.5,2016,967.5987785,2,15000000,13463.73103
P,17800,9359,502075,19950000,9688,17614,SLKW,5806.5,0.40625,3892,4500,10683,827,1608084.306,799109.8488,9417,148,0.1179,182.0589,260.34,7023.583841,2709,2017,1134.692979,2,10100000,9766.854187
P,16442,9793,384334.3,13520000,9827,16228,SLKW,4857.75,0.25,4522,7025,5098,318,1613211.512,783711.6041,9620,112,0.1124,155.2091,264.4,7219.372727,4510,2016,NaN,0,8900000,5887.242504
P,17777,9515,474103.3,19204000,9819,17545,SLKW,5856.75,0.375,4447,4910,9095,973,1611860.327,793107.9403,9553,127,0.1188,175.7953,263.06,7154.545659,4511,2017,1122.240766,2,22200000,10400.70772
